File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
1_5.csv,1,1,2,1,1,1
10_5.csv,10,10,2,1,1,1
100_5.csv,100,100,1,1,1,1
101_5.csv,101,101,3,1,1,1
102_5.csv,102,102,5,1,1,1
103_5.csv,103,103,4,1,1,1
104_5.csv,104,104,2,1,1,1
105_5.csv,105,105,5,1,1,1
106_5.csv,106,106,4,1,1,1
107_5.csv,107,107,2,1,1,1
108_5.csv,108,108,5,1,1,1
109_5.csv,109,109,3,1,1,1
11_5.csv,11,11,4,1,1,1
110_5.csv,110,110,9,1,1,1
111_5.csv,111,111,2,1,1,1
112_5.csv,112,112,7,1,1,1
113_5.csv,113,113,4,1,1,1
114_5.csv,114,114,1,1,1,1
115_5.csv,115,115,3,1,1,1
116_5.csv,116,116,4,1,1,1
117_5.csv,117,117,3,1,1,1
118_5.csv,118,118,3,1,1,1
119_5.csv,119,119,7,1,1,1
12_5.csv,12,12,0,1,1,1
120_5.csv,120,120,2,1,1,1
121_5.csv,121,121,1,1,1,1
122_5.csv,122,122,3,1,1,1
123_5.csv,123,123,6,1,1,1
124_5.csv,124,124,3,1,1,1
125_5.csv,125,125,1,1,1,1
126_5.csv,126,126,1,1,1,1
127_5.csv,127,127,8,1,1,1
128_5.csv,128,128,2,1,1,1
129_5.csv,129,129,5,1,1,1
13_5.csv,13,13,4,1,1,1
130_5.csv,130,130,3,1,1,1
131_5.csv,131,131,0,1,1,1
132_5.csv,132,132,2,1,1,1
133_5.csv,133,133,3,1,1,1
134_5.csv,134,134,4,1,1,1
135_5.csv,135,135,2,1,1,1
136_5.csv,136,136,3,1,1,1
137_5.csv,137,137,2,1,1,1
138_5.csv,138,138,2,1,1,1
139_5.csv,139,139,5,1,1,1
14_5.csv,14,14,3,1,1,1
140_5.csv,140,140,0,1,1,1
15_5.csv,15,15,3,1,1,1
151_5.csv,151,151,2,1,1,1
152_5.csv,152,152,4,1,1,1
153_5.csv,153,153,4,1,1,1
154_5.csv,154,154,2,1,1,1
155_5.csv,155,155,7,1,1,1
156_5.csv,156,156,3,1,1,1
157_5.csv,157,157,1,1,1,1
158_5.csv,158,158,1,1,1,1
159_5.csv,159,159,1,1,1,1
16_5.csv,16,16,5,1,1,1
160_5.csv,160,160,1,1,1,1
161_5.csv,161,161,6,1,1,1
162_5.csv,162,162,3,1,1,1
163_5.csv,163,163,4,1,1,1
164_5.csv,164,164,0,1,1,1
165_5.csv,165,165,6,1,1,1
166_5.csv,166,166,5,1,1,1
167_5.csv,167,167,2,1,1,1
168_5.csv,168,168,1,1,1,1
169_5.csv,169,169,1,1,1,1
17_5.csv,17,17,0,1,1,1
170_5.csv,170,170,5,1,1,1
171_5.csv,171,171,3,1,1,1
172_5.csv,172,172,3,1,1,1
173_5.csv,173,173,3,1,1,1
174_5.csv,174,174,2,1,1,1
175_5.csv,175,175,3,1,1,1
176_5.csv,176,176,5,1,1,1
177_5.csv,177,177,3,1,1,1
178_5.csv,178,178,6,1,1,1
179_5.csv,179,179,3,1,1,1
18_5.csv,18,18,1,1,1,1
180_5.csv,180,180,4,1,1,1
181_5.csv,181,181,1,1,1,1
182_5.csv,182,182,0,1,1,1
183_5.csv,183,183,1,1,1,1
184_5.csv,184,184,2,1,1,1
185_5.csv,185,185,5,1,1,1
186_5.csv,186,186,0,1,1,1
187_5.csv,187,187,0,1,1,1
188_5.csv,188,188,3,1,1,1
189_5.csv,189,189,1,1,1,1
19_5.csv,19,19,2,1,1,1
190_5.csv,190,190,2,1,1,1
191_5.csv,191,191,2,1,1,1
192_5.csv,192,192,2,1,1,1
193_5.csv,193,193,12,1,1,1
194_5.csv,194,194,3,1,1,1
195_5.csv,195,195,3,1,1,1
196_5.csv,196,196,2,1,1,1
197_5.csv,197,197,1,1,1,1
198_5.csv,198,198,4,1,1,1
199_5.csv,199,199,0,1,1,1
2_5.csv,2,2,1,1,1,1
20_5.csv,20,20,5,1,1,1
200_5.csv,200,200,0,1,1,1
202_5.csv,202,202,2,1,1,1
203_5.csv,203,203,0,1,1,1
204_5.csv,204,204,2,1,1,1
205_5.csv,205,205,3,1,1,1
206_5.csv,206,206,2,1,1,1
207_5.csv,207,207,4,1,1,1
208_5.csv,208,208,4,1,1,1
209_5.csv,209,209,2,1,1,1
21_5.csv,21,21,1,1,1,1
210_5.csv,210,210,2,1,1,1
211_5.csv,211,211,1,1,1,1
212_5.csv,212,212,4,1,1,1
213_5.csv,213,213,4,1,1,1
214_5.csv,214,214,3,1,1,1
215_5.csv,215,215,7,1,1,1
216_5.csv,216,216,1,1,1,1
217_5.csv,217,217,3,1,1,1
218_5.csv,218,218,4,1,1,1
219_5.csv,219,219,3,1,1,1
22_5.csv,22,22,3,1,1,1
220_5.csv,220,220,4,1,1,1
221_5.csv,221,221,1,1,1,1
222_5.csv,222,222,2,1,1,1
223_5.csv,223,223,6,1,1,1
224_5.csv,224,224,2,1,1,1
225_5.csv,225,225,2,1,1,1
226_5.csv,226,226,0,1,1,1
227_5.csv,227,227,3,1,1,1
228_5.csv,228,228,8,1,1,1
229_5.csv,229,229,3,1,1,1
23_5.csv,23,23,3,1,1,1
230_5.csv,230,230,3,1,1,1
231_5.csv,231,231,3,1,1,1
232_5.csv,232,232,1,1,1,1
233_5.csv,233,233,5,1,1,1
234_5.csv,234,234,1,1,1,1
235_5.csv,235,235,5,1,1,1
236_5.csv,236,236,3,1,1,1
237_5.csv,237,237,2,1,1,1
238_5.csv,238,238,4,1,1,1
239_5.csv,239,239,5,1,1,1
24_5.csv,24,24,3,1,1,1
240_5.csv,240,240,6,1,1,1
241_5.csv,241,241,3,1,1,1
242_5.csv,242,242,0,1,1,1
243_5.csv,243,243,1,1,1,1
244_5.csv,244,244,2,1,1,1
245_5.csv,245,245,0,1,1,1
246_5.csv,246,246,3,1,1,1
247_5.csv,247,247,0,1,1,1
248_5.csv,248,248,4,1,1,1
249_5.csv,249,249,0,1,1,1
25_5.csv,25,25,6,1,1,1
250_5.csv,250,250,5,1,1,1
251_5.csv,251,251,1,1,1,1
252_5.csv,252,252,2,1,1,1
255_5.csv,255,255,0,1,1,1
256_5.csv,256,256,4,1,1,1
257_5.csv,257,257,3,1,1,1
259_5.csv,259,259,2,1,1,1
26_5.csv,26,26,6,1,1,1
260_5.csv,260,260,3,1,1,1
261_5.csv,261,261,3,1,1,1
262_5.csv,262,262,2,1,1,1
263_5.csv,263,263,0,1,1,1
264_5.csv,264,264,3,1,1,1
265_5.csv,265,265,2,1,1,1
266_5.csv,266,266,2,1,1,1
267_5.csv,267,267,1,1,1,1
268_5.csv,268,268,3,1,1,1
269_5.csv,269,269,5,1,1,1
27_5.csv,27,27,5,1,1,1
270_5.csv,270,270,1,1,1,1
271_5.csv,271,271,6,1,1,1
272_5.csv,272,272,2,1,1,1
273_5.csv,273,273,1,1,1,1
274_5.csv,274,274,0,1,1,1
275_5.csv,275,275,0,1,1,1
276_5.csv,276,276,2,1,1,1
277_5.csv,277,277,2,1,1,1
278_5.csv,278,278,0,1,1,1
279_5.csv,279,279,3,1,1,1
28_5.csv,28,28,1,1,1,1
280_5.csv,280,280,5,1,1,1
281_5.csv,281,281,2,1,1,1
282_5.csv,282,282,1,1,1,1
283_5.csv,283,283,0,1,1,1
284_5.csv,284,284,0,1,1,1
285_5.csv,285,285,2,1,1,1
286_5.csv,286,286,3,1,1,1
287_5.csv,287,287,0,1,1,1
288_5.csv,288,288,2,1,1,1
289_5.csv,289,289,3,1,1,1
29_5.csv,29,29,6,1,1,1
290_5.csv,290,290,4,1,1,1
291_5.csv,291,291,4,1,1,1
292_5.csv,292,292,1,1,1,1
293_5.csv,293,293,2,1,1,1
294_5.csv,294,294,1,1,1,1
295_5.csv,295,295,0,1,1,1
296_5.csv,296,296,2,1,1,1
297_5.csv,297,297,3,1,1,1
298_5.csv,298,298,4,1,1,1
299_5.csv,299,299,5,1,1,1
3_5.csv,3,3,1,1,1,1
30_5.csv,30,30,0,1,1,1
300_5.csv,300,300,5,1,1,1
301_5.csv,301,301,1,1,1,1
302_5.csv,302,302,2,1,1,1
303_5.csv,303,303,4,1,1,1
304_5.csv,304,304,4,1,1,1
305_5.csv,305,305,4,1,1,1
306_5.csv,306,306,2,1,1,1
307_5.csv,307,307,2,1,1,1
308_5.csv,308,308,0,1,1,1
309_5.csv,309,309,1,1,1,1
31_5.csv,31,31,7,1,1,1
32_5.csv,32,32,6,1,1,1
33_5.csv,33,33,3,1,1,1
34_5.csv,34,34,2,1,1,1
35_5.csv,35,35,6,1,1,1
36_5.csv,36,36,5,1,1,1
37_5.csv,37,37,4,1,1,1
38_5.csv,38,38,4,1,1,1
39_5.csv,39,39,4,1,1,1
4_5.csv,4,4,0,1,1,1
40_5.csv,40,40,1,1,1,1
41_5.csv,41,41,5,1,1,1
42_5.csv,42,42,3,1,1,1
43_5.csv,43,43,3,1,1,1
44_5.csv,44,44,4,1,1,1
45_5.csv,45,45,5,1,1,1
46_5.csv,46,46,1,1,1,1
47_5.csv,47,47,1,1,1,1
48_5.csv,48,48,4,1,1,1
49_5.csv,49,49,6,1,1,1
5_5.csv,5,5,1,1,1,1
50_5.csv,50,50,6,1,1,1
51_5.csv,51,51,4,1,1,1
52_5.csv,52,52,2,1,1,1
53_5.csv,53,53,4,1,1,1
54_5.csv,54,54,1,1,1,1
55_5.csv,55,55,3,1,1,1
56_5.csv,56,56,2,1,1,1
57_5.csv,57,57,4,1,1,1
58_5.csv,58,58,4,1,1,1
59_5.csv,59,59,3,1,1,1
6_5.csv,6,6,3,1,1,1
60_5.csv,60,60,1,1,1,1
61_5.csv,61,61,3,1,1,1
62_5.csv,62,62,5,1,1,1
63_5.csv,63,63,9,1,1,1
64_5.csv,64,64,2,1,1,1
65_5.csv,65,65,4,1,1,1
66_5.csv,66,66,7,1,1,1
67_5.csv,67,67,4,1,1,1
68_5.csv,68,68,8,1,1,1
69_5.csv,69,69,3,1,1,1
7_5.csv,7,7,2,1,1,1
70_5.csv,70,70,6,1,1,1
71_5.csv,71,71,5,1,1,1
72_5.csv,72,72,2,1,1,1
73_5.csv,73,73,6,1,1,1
74_5.csv,74,74,1,1,1,1
75_5.csv,75,75,4,1,1,1
76_5.csv,76,76,2,1,1,1
77_5.csv,77,77,2,1,1,1
78_5.csv,78,78,1,1,1,1
