File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
1_2.csv,1,1,3,1,1,1
10_2.csv,10,10,9,1,1,1
100_2.csv,100,100,10,1,1,1
101_2.csv,101,101,12,1,1,1
102_2.csv,102,102,9,1,1,1
103_2.csv,103,103,9,1,1,1
104_2.csv,104,104,5,1,1,1
105_2.csv,105,105,9,1,1,1
106_2.csv,106,106,6,1,1,1
107_2.csv,107,107,8,1,1,1
108_2.csv,108,108,6,1,1,1
109_2.csv,109,109,7,1,1,1
11_2.csv,11,11,6,1,1,1
110_2.csv,110,110,6,1,1,1
111_2.csv,111,111,5,1,1,1
112_2.csv,112,112,6,1,1,1
113_2.csv,113,113,12,1,1,1
114_2.csv,114,114,9,1,1,1
115_2.csv,115,115,11,1,1,1
116_2.csv,116,116,6,1,1,1
117_2.csv,117,117,2,1,1,1
118_2.csv,118,118,9,1,1,1
119_2.csv,119,119,8,1,1,1
12_2.csv,12,12,7,1,1,1
120_2.csv,120,120,11,1,1,1
121_2.csv,121,121,7,1,1,1
122_2.csv,122,122,9,1,1,1
123_2.csv,123,123,14,1,1,1
124_2.csv,124,124,17,1,1,1
125_2.csv,125,125,13,1,1,1
126_2.csv,126,126,7,1,1,1
127_2.csv,127,127,7,1,1,1
128_2.csv,128,128,10,1,1,1
129_2.csv,129,129,15,1,1,1
13_2.csv,13,13,3,1,1,1
130_2.csv,130,130,11,1,1,1
131_2.csv,131,131,3,1,1,1
132_2.csv,132,132,6,1,1,1
133_2.csv,133,133,11,1,1,1
134_2.csv,134,134,4,1,1,1
135_2.csv,135,135,13,1,1,1
136_2.csv,136,136,5,1,1,1
137_2.csv,137,137,6,1,1,1
138_2.csv,138,138,8,1,1,1
139_2.csv,139,139,7,1,1,1
14_2.csv,14,14,8,1,1,1
140_2.csv,140,140,2,1,1,1
15_2.csv,15,15,10,1,1,1
151_2.csv,151,151,7,1,1,1
152_2.csv,152,152,7,1,1,1
153_2.csv,153,153,14,1,1,1
154_2.csv,154,154,10,1,1,1
155_2.csv,155,155,7,1,1,1
156_2.csv,156,156,10,1,1,1
157_2.csv,157,157,7,1,1,1
158_2.csv,158,158,7,1,1,1
159_2.csv,159,159,6,1,1,1
16_2.csv,16,16,10,1,1,1
160_2.csv,160,160,11,1,1,1
161_2.csv,161,161,10,1,1,1
162_2.csv,162,162,2,1,1,1
163_2.csv,163,163,15,1,1,1
164_2.csv,164,164,7,1,1,1
165_2.csv,165,165,7,1,1,1
166_2.csv,166,166,3,1,1,1
167_2.csv,167,167,12,1,1,1
168_2.csv,168,168,9,1,1,1
169_2.csv,169,169,4,1,1,1
17_2.csv,17,17,12,1,1,1
170_2.csv,170,170,7,1,1,1
171_2.csv,171,171,5,1,1,1
172_2.csv,172,172,6,1,1,1
173_2.csv,173,173,5,1,1,1
174_2.csv,174,174,6,1,1,1
175_2.csv,175,175,6,1,1,1
176_2.csv,176,176,12,1,1,1
177_2.csv,177,177,6,1,1,1
178_2.csv,178,178,6,1,1,1
179_2.csv,179,179,14,1,1,1
18_2.csv,18,18,10,1,1,1
180_2.csv,180,180,4,1,1,1
181_2.csv,181,181,2,1,1,1
182_2.csv,182,182,6,1,1,1
183_2.csv,183,183,7,1,1,1
184_2.csv,184,184,5,1,1,1
185_2.csv,185,185,8,1,1,1
186_2.csv,186,186,5,1,1,1
187_2.csv,187,187,7,1,1,1
188_2.csv,188,188,3,1,1,1
189_2.csv,189,189,9,1,1,1
19_2.csv,19,19,4,1,1,1
190_2.csv,190,190,10,1,1,1
191_2.csv,191,191,9,1,1,1
192_2.csv,192,192,3,1,1,1
193_2.csv,193,193,9,1,1,1
194_2.csv,194,194,6,1,1,1
195_2.csv,195,195,5,1,1,1
196_2.csv,196,196,5,1,1,1
197_2.csv,197,197,8,1,1,1
198_2.csv,198,198,5,1,1,1
199_2.csv,199,199,10,1,1,1
2_2.csv,2,2,7,1,1,1
20_2.csv,20,20,15,1,1,1
200_2.csv,200,200,8,1,1,1
202_2.csv,202,202,12,1,1,1
203_2.csv,203,203,7,1,1,1
204_2.csv,204,204,2,1,1,1
205_2.csv,205,205,9,1,1,1
206_2.csv,206,206,7,1,1,1
207_2.csv,207,207,10,1,1,1
208_2.csv,208,208,6,1,1,1
209_2.csv,209,209,8,1,1,1
21_2.csv,21,21,5,1,1,1
210_2.csv,210,210,8,1,1,1
211_2.csv,211,211,1,1,1,1
212_2.csv,212,212,6,1,1,1
213_2.csv,213,213,9,1,1,1
214_2.csv,214,214,13,1,1,1
215_2.csv,215,215,5,1,1,1
216_2.csv,216,216,13,1,1,1
217_2.csv,217,217,7,1,1,1
218_2.csv,218,218,13,1,1,1
219_2.csv,219,219,5,1,1,1
22_2.csv,22,22,9,1,1,1
220_2.csv,220,220,5,1,1,1
221_2.csv,221,221,9,1,1,1
222_2.csv,222,222,5,1,1,1
223_2.csv,223,223,6,1,1,1
224_2.csv,224,224,3,1,1,1
225_2.csv,225,225,9,1,1,1
226_2.csv,226,226,13,1,1,1
227_2.csv,227,227,7,1,1,1
228_2.csv,228,228,6,1,1,1
229_2.csv,229,229,6,1,1,1
23_2.csv,23,23,0,1,1,1
230_2.csv,230,230,4,1,1,1
231_2.csv,231,231,8,1,1,1
232_2.csv,232,232,7,1,1,1
233_2.csv,233,233,7,1,1,1
234_2.csv,234,234,8,1,1,1
235_2.csv,235,235,6,1,1,1
236_2.csv,236,236,3,1,1,1
237_2.csv,237,237,9,1,1,1
238_2.csv,238,238,8,1,1,1
239_2.csv,239,239,5,1,1,1
24_2.csv,24,24,9,1,1,1
240_2.csv,240,240,7,1,1,1
241_2.csv,241,241,6,1,1,1
242_2.csv,242,242,4,1,1,1
243_2.csv,243,243,10,1,1,1
244_2.csv,244,244,5,1,1,1
245_2.csv,245,245,7,1,1,1
246_2.csv,246,246,10,1,1,1
247_2.csv,247,247,8,1,1,1
248_2.csv,248,248,8,1,1,1
249_2.csv,249,249,7,1,1,1
25_2.csv,25,25,8,1,1,1
250_2.csv,250,250,4,1,1,1
251_2.csv,251,251,12,1,1,1
252_2.csv,252,252,6,1,1,1
255_2.csv,255,255,5,1,1,1
256_2.csv,256,256,6,1,1,1
257_2.csv,257,257,2,1,1,1
259_2.csv,259,259,3,1,1,1
26_2.csv,26,26,6,1,1,1
260_2.csv,260,260,8,1,1,1
261_2.csv,261,261,5,1,1,1
262_2.csv,262,262,8,1,1,1
263_2.csv,263,263,8,1,1,1
264_2.csv,264,264,4,1,1,1
265_2.csv,265,265,2,1,1,1
266_2.csv,266,266,9,1,1,1
267_2.csv,267,267,6,1,1,1
268_2.csv,268,268,8,1,1,1
269_2.csv,269,269,7,1,1,1
27_2.csv,27,27,8,1,1,1
270_2.csv,270,270,3,1,1,1
271_2.csv,271,271,0,1,1,1
272_2.csv,272,272,7,1,1,1
273_2.csv,273,273,6,1,1,1
274_2.csv,274,274,5,1,1,1
275_2.csv,275,275,4,1,1,1
276_2.csv,276,276,6,1,1,1
277_2.csv,277,277,6,1,1,1
278_2.csv,278,278,9,1,1,1
279_2.csv,279,279,7,1,1,1
28_2.csv,28,28,11,1,1,1
280_2.csv,280,280,7,1,1,1
281_2.csv,281,281,5,1,1,1
282_2.csv,282,282,2,1,1,1
283_2.csv,283,283,1,1,1,1
284_2.csv,284,284,7,1,1,1
285_2.csv,285,285,7,1,1,1
286_2.csv,286,286,8,1,1,1
287_2.csv,287,287,6,1,1,1
288_2.csv,288,288,1,1,1,1
