Frequency (Hz),Trace M (dB),Trace th (deg),Trace Rs (Ohm),Trace Xs (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Cs (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A),Trace Ireal (A),Trace Iimag (A)
10000,32.50958172478664,-88.78382830282821,915.5863046133824,-43128.24611014065,4.920168847130739e-07,2.317621527029119e-05,-0.6864073555312692,3.690271630463396e-10,0.708052798362739,0.01680545570389417,-0.7078533336277296,1.641362980791113e-05,3.89573389604279e-07,-1.640900594323925e-05
10023.05238077899,32.50350259394779,-88.79550672130591,906.1793094320778,-43099.12064857134,4.876243414723772e-07,2.319207700457146e-05,-0.684366182430445,3.684272312078423e-10,0.7080258558855589,0.01666463871457204,-0.7078297128681382,1.642416729044063e-05,3.865717781458032e-07,-1.641961733551428e-05
10046.15790278395,32.47312153923022,-88.73125865616265,951.2234361901795,-42949.79441326761,5.154035339640028e-07,2.32715837114843e-05,-0.6804265025296822,3.688578600111016e-10,0.7080702896461892,0.01746354812366953,-0.7078549000795082,1.648190533720312e-05,4.065027882610885e-07,-1.647689166765567e-05
10069.31668851804,32.45232028511718,-88.79182795120224,903.7226478075411,-42851.36286321584,4.919407143765127e-07,2.332610575830881e-05,-0.6773057625332286,3.688548452347168e-10,0.7080502297637629,0.0167188836444451,-0.707852814360585,1.651967430865517e-05,3.900719200425713e-07,-1.651506836683505e-05
10092.52886076684,32.42388903451356,-88.88261474759365,833.1823488073184,-42717.38852080368,4.564208606498607e-07,2.340076846477769e-05,-0.6736352833720131,3.69160679675541e-10,0.7080866460671945,0.01560217810477136,-0.7079147338324548,1.657286993877659e-05,3.651712257647437e-07,-1.656884630816154e-05
10115.79454259898,32.40433058252879,-88.77788160400881,909.2227313677959,-42620.0314186897,5.00316871892978e-07,2.345247216520982e-05,-0.6705542156329317,3.691529693580859e-10,0.7080608225592188,0.01689969444122404,-0.7078591164709477,1.660950142818369e-05,3.964285129388056e-07,-1.660476986070464e-05
10139.11385736679,32.37891068145761,-88.81913936761714,876.0371849686539,-42499.61848795239,4.848060049071904e-07,2.351962976316035e-05,-0.6671218468429346,3.693474459137478e-10,0.70796311236411,0.01639185441236913,-0.7077733221711604,1.665451336315838e-05,3.856109924232091e-07,-1.665004863434769e-05
10162.48692870695,32.35077346791611,-88.74032700940718,931.5111395120305,-42362.62724547871,5.188147835761445e-07,2.359430430171046e-05,-0.6634420861523509,3.69689610211607e-10,0.7079531421617165,0.01736931444477886,-0.707740035897621,1.670764523058649e-05,4.099146205577214e-07,-1.670261593748095e-05
10185.91388054117,32.33097538209672,-88.74111408327447,928.8574543570589,-42268.36355557183,5.196471232244545e-07,2.364693680610214e-05,-0.660443341183753,3.696619051657939e-10,0.7080417121364124,0.01736592742675015,-0.7078287156436021,1.674700506259813e-05,4.107487871794553e-07,-1.674196714847207e-05
10209.3948370768,32.32674188231032,-88.8090777154258,878.3244616443181,-42250.47915386414,4.918175884582363e-07,2.365814647784821e-05,-0.658645562508572,3.689678223981643e-10,0.7081551897309869,0.01653311913145248,-0.7079621661605339,1.675720390658155e-05,3.9122617826581e-07,-1.675263635503951e-05
